name,lat,lon,pop
Orcotuna,-11.96886,-75.3078,4199
Orcopampa,-15.26611,-72.34167,5643
Ollantaytambo,-13.25722,-72.26306,2000
Nunoa,-14.4775,-70.63642,4271
Nuevo Imperial,-13.07541,-76.31719,32344
Asentamiento Humano Nicolas de Pierola,-11.93573,-76.70611,5800
Nazca,-14.83098,-74.93895,23556
Morococha,-11.58779,-76.06323,7890
Moquegua,-17.19747,-70.93587,69882
Mollendo,-17.02306,-72.01472,28953
Miraflores,-12.11331,-77.03274,187401
Mazamari,-11.32583,-74.53083,6826
Matucana,-11.85,-76.4,4517
Minas de Marcona,-15.21194,-75.11028,15478
Marangani,-14.35672,-71.16924,3709
Mala,-12.65806,-76.63083,17260
Macusani,-14.08333,-70.43333,6044
Machupicchu,-13.15549,-72.52416,4446
Los Aquijes,-14.09667,-75.69083,7848
Lluta,-16.01472,-72.01417,5998
Lima,-12.04318,-77.02824,7737002
Layo,-14.49361,-71.155,3978
La Oroya,-11.51893,-75.89935,33345
Langui,-14.43194,-71.27306,3969
Lampa,-15.35,-70.36667,4780
Junin,-11.15895,-75.99304,15320
Juliaca,-15.5,-70.13333,245675
Juli,-16.21667,-69.45,7309
Villa Poeta Jose Galvez Barrenechea,-12.21312,-76.90522,61000
Jauja,-11.77584,-75.49656,21057
Jatun Orcochiri,-15.75003,-71.34641,4358
Islay (Matarani),-16.9961,-72.1011,4823
Independencia,-11.99,-77.04583,3987
Imperial,-13.05927,-76.35269,32344
Ilo,-17.63185,-71.34108,53476
Ilave,-16.08333,-69.66667,16033
Ilabaya,-17.42072,-70.51276,9492
Ica,-14.07538,-75.73422,282407
Iberia,-11.40613,-69.49267,4386
Huayucachi,-12.13822,-75.22317,5827
Huaura,-11.07,-77.59944,20723
Huasahuasi,-11.26527,-75.64722,5146
Huarmey,-10.06806,-78.15222,16172
Huaral,-11.495,-77.20778,62174
Huanta,-12.93333,-74.25,18627
Huancayo,-12.06866,-75.21027,456250
Huancavelica,-12.78691,-74.97298,49570
Huancane,-15.82239,-70.88565,7831
Hualmay,-11.09639,-77.61389,26658
Huacho,-11.11718,-77.60584,54545
Desaguadero,-16.56609,-69.042,5329
Cusco,-13.53188,-71.96701,428450
Coracora,-15.03333,-73.78333,7420
Concepcion,-11.91762,-75.31401,11330
Combapata,-14.10111,-71.42944,3472
Cocachacra,-17.08833,-71.7575,8799
Chupaca,-12.06667,-75.28333,9877
Chosica,-11.94306,-76.70944,88606
Chivay,-15.63833,-71.60111,4543
Chincha Alta,-13.40985,-76.13235,153076
Chilca,-12.52111,-76.73722,12884
Checca,-14.47351,-71.39426,3810
Checacupe,-14.02694,-71.45278,3440
Chaupimarca,-10.40696,-76.46168,28666
Chancay,-11.57139,-77.26722,26958
Cerro de Pasco,-10.66577,-76.25309,58899
Carhuamayo,-10.91667,-76.03333,9122
Candarave,-17.26778,-70.24944,3415
Camana,-16.62375,-72.71055,16434
Callao,-12.05162,-77.13452,1300000
Caleta de Carquin,-11.0925,-77.62667,5514
Calca,-13.33333,-71.95,9179
Barranco,-12.14297,-77.01862,37525
Barranca,-10.75,-77.76667,46290
Azangaro,-14.91416,-70.19846,13290
Ayna,-12.65,-73.91667,4588
Ayaviri,-14.88639,-70.58889,19310
Ayacucho,-13.1638,-74.22345,140033
Atuncolla,-15.68865,-70.14392,12654
Arequipa,-16.39899,-71.53747,1008290
Anta,-13.47056,-72.14833,5859
Andahuaylas,-13.65556,-73.38722,17444
Ambo,-10.13083,-76.20472,6865
Acolla,-11.73193,-75.54634,6805
Acari,-15.42393,-74.61361,4445
Abancay,-13.63426,-72.8838,72277
Mosoc Llacta,-14.12,-71.47278,3802
Santo Tomas,-14.44556,-72.08417,4134
Jacobo Hunter,-16.44083,-71.55333,46092
Huarancante,-15.76803,-71.45952,4638
Ccolo,-15.50611,-71.49184,3857
Huarichancara,-15.63972,-71.06111,4445
Llongasora,-15.63951,-71.29921,4753
Jayune,-15.56277,-71.30312,4256
Chuquitira,-17.28907,-70.04343,4220
Callanca,-14.18137,-71.1407,4046
Cullcuyre,-14.09272,-71.33119,3593
Cahuanuyo,-14.34147,-71.46311,3935
Ccaquiracunca,-14.27683,-71.45026,4098
Chignayhua,-14.2461,-71.44442,3912
Ccuntuma,-14.1254,-71.41216,3511
Lima Pampa,-14.08976,-71.33664,3569
Jayobamba,-14.09425,-71.33922,3593
Queromarca,-14.18391,-71.38343,3496
Qquea,-14.18273,-71.35774,3482
Conchopata,-14.46968,-71.19843,3977
Mosoc Cancha,-14.28514,-71.08773,4450
Huayna Alcalde,-14.26989,-71.09599,4298
Segunda Jerusalen - Azunguillo,-5.98917,-77.27694,6412
San Martin de Pangoa,-11.42854,-74.48834,16262
El Triunfo ( El Cruce),-16.49319,-71.85305,6386
Santa Rosa de Sacco,-11.55067,-75.94255,11257
La Rinconada,-14.63126,-69.44638,29678
Pedro Ruiz Gallo,-5.94527,-77.97993,5602
Santa Rosa,-12.68657,-73.73531,4702
Kimbiri,-12.61935,-73.78814,4369
Urb. Santo Domingo,-11.87655,-77.03345,5000
Paucartambo,-10.77326,-75.81109,4438
Santa Anita - Los Ficus,-12.05048,-76.97335,184614
San Martin,-5.18591,-80.66927,130000
San Francisco De Borja,-12.08911,-76.99876,105076
Ciudad Satelite,-16.43085,-71.52921,76410
Chilca,-12.08628,-75.20827,73371
San Fernando,-8.39818,-74.53774,67844
Jesus Maria,-12.06982,-77.04495,66171
Wanchaq,-13.52493,-71.96531,59134
Centenario,-9.51656,-77.53045,47581
Cono Norte,-16.32369,-71.58151,47347
Carmen De La Legua Reynoso,-12.05354,-77.09802,41863
La Banda,-6.49265,-76.34224,24932
Yanacancha,-10.66585,-76.25525,24105
El Pedregal,-16.36314,-72.1921,20063
Santa Rosa,-10.91908,-74.88496,18057
San Antonio,-17.21718,-70.92593,15633
Cono Norte,-16.30111,-71.61647,14542
Las Nazarenas,-13.15465,-74.21553,14316
Pilcomayo,-9.04728,-77.81092,13295
La Rinconada Ana Maria (La Rinconada),-14.63392,-69.44694,12183
La Pradera,-6.779,-79.886,10072
Miramar,-8.17945,-78.99381,9614
Ascencion,-12.78423,-74.98058,9086
Puente Viru,-8.42513,-78.78097,8995
