provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
crossref,"Notas sobre la ecología reproductiva y conservación de los chorlos nevados Charadrius nivosus occidentalis en Paracas, Perú",2011,10.15381/rpb.v18i1.153,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v18i1.153,,Clemens Küpper; Edgardo Aguilar; Oscar González,0,"The snowy plover is a shorebird endemic to the Americas. It consists of three subspecies. In South America the subspecies occidentalis is found along the coast of the Pacific ocean. Although breeding behaviour,population demography and reproductive success are well established in North America, little is known about these ecological parameters for occidentalis snowy plovers. In October 2008 we studied breeding ecology of snowy plovers in the National Reserve Paracas, Ica, Peru. Snowy plovers were found at all nine sandy beaches and coastal wetlands visited. Based on counts we estimate the population in Paracas to consist of a minimum of 500 snowy plovers. Evidence for breeding activity was found at six of nine sites. Most breeding activity was observed at Playón/Mendieta, surrounding a temporal salt lagoon. Two nests and ten families were found in the entire reserve. In total 24 chicks, eight males and seven females were captured and marked. Families were tended by both parents. Twe..."
crossref,Subduction of the Nazca plate beneath central Peru,1978,10.1130/0091-7613(1978)6<174:sotnpb>2.0.co;2,Geology,https://doi.org/10.1130/0091-7613(1978)6<174:sotnpb>2.0.co;2,,David E. James,0,
crossref,"Crustal structures of the Peru continental margin and adjacent Nazca plate, 9°S latitude",1981,10.1130/mem154-p423,Geological Society of America Memoirs,https://doi.org/10.1130/mem154-p423,,Paul R. Jones,0,
crossref,"Fluvial Dynamics and Cultural Landscape Evolution in the Rio Grande de Nazca Drainage Basin, Southern Peru",2008,10.30861/9781407302751,,https://doi.org/10.30861/9781407302751,,Ralf Hesse,0,
crossref,"The Nazca geoglyphs, Peru: Proto-architectural expressions",1999,10.1515/semi.1999.123.3-4.283,semi,https://doi.org/10.1515/semi.1999.123.3-4.283,,JUAN D’ORNELLAS,0,
crossref,INTERPRETING THE PARACAS BODY AND ITS VALUE IN ANCIENT PERU,2012,10.2307/j.ctvdjrrxf.15,The Construction of Value in the Ancient World,https://doi.org/10.2307/j.ctvdjrrxf.15,,LISA DELEONARDIS,0,
crossref,Paracas Art and Architecture: Object and Context in South Coastal Peru,1993,10.1525/mua.1993.17.2.99,Museum Anthropology,https://doi.org/10.1525/mua.1993.17.2.99,,Karen Wise,0,"Paracas Art and Architecture: Object and Context In South Coastal Peru. Edited by Anne Paul. iowa City: University of Iowa Press, 1991.445 pp., map, figures, b/w illustrations, references, index. $29.95 (cloth)."
crossref,Structures of the Nazca Ridge and the continental shelf and slope of southern Peru,1981,10.1130/mem154-p569,Geological Society of America Memoirs,https://doi.org/10.1130/mem154-p569,,Richard Couch; Robert M. Whitsett,0,
crossref,Paracas and Nasca: Regional Cultures on the South Coast of Peru,2008,10.1007/978-0-387-74907-5_29,The Handbook of South American Archaeology,https://doi.org/10.1007/978-0-387-74907-5_29,,Donald A. Proulx,0,
crossref,Paracas ritual attire: symbols of authority in ancient Peru,1991,10.5860/choice.28-3358,Choice Reviews Online,https://doi.org/10.5860/choice.28-3358,,,0,
crossref,"Cerrillos, an Early Paracas Site in ICA, Peru",1962,10.2307/277797,American Antiquity,https://doi.org/10.2307/277797,,Dwight T. Wallace,0,"Abstract Excavations at Site PV62-63 (Cerrillos) uncovered a refuse accumulation several meters deep with two major stratigraphic units, the earlier termed the Cerrillos phase, the later termed the Isla phase. Cerrillos ceramics are of a style new to the Ica sequence and the earliest known in the valley; they represent an early development in the Paracas style, but also share various specific traits with Chavinoid ceramic styles in other areas. Ceramics of the Isla phase represent a local development out of Cerrillos but with many of the Chavinoid traits lacking. The Isla ceramic style had been previously recognized as the earliest known Paracas phase, although no refuse excavations had been made. Isla refuse is associated with a series of superimposed adobe structures, representing terraced habitations arranged in a complex apartment-house-like dwelling unit. The refuse of both stratigraphic units indicates very heavy dependence on agricultural produce, beans and a primitive type o..."
crossref,"New tourist needs and perceptions on sustainability during the pandemic: An analysis of Paracas National Reserve, Peru",2023,10.21511/im.19(1).2023.04,Innovative Marketing,https://doi.org/10.21511/im.19(1).2023.04,,Marjorie Riofrio-Carbajal; Heber Luis Olavarria-Benavides; Daniel Amadeo Robles-Fabian; Franklin Cordova-Buiza,0,"Tourism has shown relevance worldwide due to its economic and social significance. However, the pandemic has given rise to new perspectives on sustainable development. Thus, it is vital to identify new tourist needs and impressions about tourist attractions. The Paracas National Reserve attracts thousands of people yearly and seeks to protect the marine-coastal ecosystems home to extraordinary biological diversity. The study aims to define the perception of sustainability and the emerging needs of tourists from Lima, the capital of Peru, when visiting the Paracas National Reserve during the pandemic. The paper is non-experimental, quantitative, explanatory, and transversal research. A survey was applied to 83 respondents from Lima who had visited the Paracas National Reserve before and during the pandemic. For data collection, the survey technique with Google Forms was used; quantitative data were analyzed using MS Excel. The findings show that 88% of tourists prefer to travel with ..."
crossref,"Skeletal remains from Paracas, Peru",1943,10.1002/ajpa.1330010113,American Journal of Physical Anthropology,https://doi.org/10.1002/ajpa.1330010113,,T. D. Stewart,0,
