site_name,source,source_url,latitude,longitude,source_file,site_type
square 780m,archaeogeodesy.org,,-9.142597,-67.219688,archaeogeodesy_peru.csv,
square 781m,archaeogeodesy.org,,-9.591140,-66.155900,archaeogeodesy_peru.csv,
square 788m,archaeogeodesy.org,,-9.721147,-66.126173,archaeogeodesy_peru.csv,
square 793m,archaeogeodesy.org,,-8.886761,-67.250822,archaeogeodesy_peru.csv,
square 796m,archaeogeodesy.org,,-9.875380,-67.534395,archaeogeodesy_peru.csv,
square 798m,archaeogeodesy.org,,-8.963376,-67.248062,archaeogeodesy_peru.csv,
square 800m,archaeogeodesy.org,,-11.122192,-67.532278,archaeogeodesy_peru.csv,
square 809m,archaeogeodesy.org,,-9.536876,-65.962129,archaeogeodesy_peru.csv,
square 828m,archaeogeodesy.org,,-9.222044,-67.279733,archaeogeodesy_peru.csv,
square 845m,archaeogeodesy.org,,-9.789014,-67.343774,archaeogeodesy_peru.csv,
square 879m,archaeogeodesy.org,,-9.388445,-67.245017,archaeogeodesy_peru.csv,
square 880m,archaeogeodesy.org,,-10.025005,-67.507845,archaeogeodesy_peru.csv,
square 882m,archaeogeodesy.org,,-9.727505,-67.121020,archaeogeodesy_peru.csv,
square 893m,archaeogeodesy.org,,-9.142656,-67.219778,archaeogeodesy_peru.csv,
square 898m,archaeogeodesy.org,,-9.886112,-67.440555,archaeogeodesy_peru.csv,
square 912m,archaeogeodesy.org,,-10.079223,-67.572749,archaeogeodesy_peru.csv,
square 915m,archaeogeodesy.org,,-9.511470,-65.935221,archaeogeodesy_peru.csv,
square 925m,archaeogeodesy.org,,-10.230875,-65.265229,archaeogeodesy_peru.csv,
square 926m,archaeogeodesy.org,,-9.769954,-66.673473,archaeogeodesy_peru.csv,
square 938m,archaeogeodesy.org,,-9.783106,-66.949925,archaeogeodesy_peru.csv,
square 945m,archaeogeodesy.org,,-9.794062,-67.046258,archaeogeodesy_peru.csv,
square 981m,archaeogeodesy.org,,-9.320753,-65.753786,archaeogeodesy_peru.csv,
