global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
58,17L QL 48 75,17LQL4875,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3258,0.5199,0.4393,0.6266,0.4362,0.8987,0.4857,1.02,2.03,6.86,2.12,40.11,26.27,239.46,Viru,-8.354,-78.748
59,18L VJ 69 78,18LVJ6978,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3236,0.4737,0.3727,0.6832,0.1329,0.9277,0.1683,2.1,1.45,17.55,0.23,40.86,77.91,145.05,Palpa,-14.663,-75.279
60,18L WJ 50 09,18LWJ5009,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3236,0.4638,0.3557,0.6977,0.2381,0.7426,0.2611,0.88,5.15,16.99,0.84,67.75,62.91,251.56,Acari,-15.293,-74.532
61,18L VJ 70 80,18LVJ7080,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.323,0.4683,0.3649,0.6898,0.1156,0.9396,0.1544,2.51,1.21,15.36,0.92,40.95,79.7,144.48,Palpa,-14.645,-75.27
62,18L VJ 72 80,18LVJ7280,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3207,0.4872,0.402,0.6583,0.1387,0.9702,0.1497,0.73,0.6,14.3,0.12,39.28,79.37,145.96,Palpa,-14.645,-75.252
63,18L VJ 71 79,18LVJ7179,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3206,0.4737,0.3802,0.6768,0.1281,0.9369,0.157,1.84,1.26,15.66,0.41,39.61,78.54,145.86,Palpa,-14.654,-75.261
64,18L WJ 47 12,18LWJ4712,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3203,0.4584,0.3545,0.6987,0.1319,0.899,0.1794,2.64,2.02,18.51,0.58,63.59,62.77,247.41,Acari,-15.266,-74.559
65,17L QL 49 75,17LQL4975,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3186,0.5275,0.466,0.6039,0.4249,0.9458,0.4722,1.0,1.08,6.99,1.18,40.86,26.0,239.07,Viru,-8.354,-78.739
66,18L VJ 74 79,18LVJ7479,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3185,0.4756,0.3886,0.6697,0.1452,0.9113,0.1632,1.1,1.77,14.37,0.48,37.11,78.11,148.09,Palpa,-14.654,-75.234
67,18L WJ 47 11,18LWJ4711,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3178,0.4575,0.3592,0.6947,0.158,0.8531,0.1975,2.0,2.94,17.57,0.62,64.36,62.63,248.07,Acari,-15.275,-74.559
68,18K ZG 07 95,18KZG0795,Far South — Arequipa-Moquegua,Tier 3 -- Low Priority,0.3174,0.5104,0.4449,0.6218,0.8527,0.0341,0.9197,0.73,40.56,9.81,0.44,61.94,33.13,76.69,El Pedregal,-16.306,-72.122
69,18K ZG 10 95,18KZG1095,Far South — Arequipa-Moquegua,Tier 3 -- Low Priority,0.3174,0.497,0.4251,0.6387,0.8303,0.0268,0.9069,0.84,43.41,12.15,0.27,59.1,30.49,76.68,El Pedregal,-16.306,-72.095
70,18L VJ 68 77,18LVJ6877,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3172,0.4576,0.361,0.6932,0.1402,0.8706,0.1576,1.1,2.59,18.93,0.32,41.29,77.12,144.98,Palpa,-14.672,-75.288
71,18L YL 63 42,18LYL6342,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3157,0.6322,0.589,0.4994,0.5375,0.872,0.6077,1.16,2.56,5.22,0.07,5.14,51.81,90.34,Machupicchu,-13.175,-72.568
72,17L QL 48 73,17LQL4873,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3156,0.56,0.5134,0.5636,0.5312,0.8683,0.5603,0.52,2.63,5.05,0.84,42.18,24.07,240.92,Viru,-8.372,-78.739
73,17L QL 47 74,17LQL4774,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3156,0.4999,0.4338,0.6313,0.4276,0.8351,0.5023,1.49,3.3,5.87,2.96,40.05,25.64,240.76,Viru,-8.363,-78.757
74,18L YL 69 39,18LYL6939,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3151,0.4964,0.4296,0.6348,0.387,0.6964,0.4707,1.78,6.07,5.29,5.94,5.48,52.81,95.85,Machupicchu,-13.202,-72.514
