global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,lat_center,lon_center
79,18L WJ 07 57,18LWJ0757,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5981,0.7654,0.0322,0.8835,1.34,41.22,-14.861,-74.928
80,18L YL 68 44,18LYL6844,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5964,0.4749,0.8531,0.582,1.84,2.94,-13.157,-72.523
81,18L YL 67 45,18LYL6745,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.596,0.4629,0.8821,0.5503,1.59,2.36,-13.148,-72.532
82,17L QM 11 05,17LQM1105,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5935,0.6691,0.706,0.7454,1.02,5.88,-8.084,-79.081
83,18L TM 71 65,18LTM7165,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5908,0.6888,0.6098,0.7446,0.75,7.8,-12.066,-77.1
84,18L TM 75 63,18LTM7563,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5905,0.6172,0.7361,0.6774,0.89,5.28,-12.084,-77.064
85,18L YL 65 46,18LYL6546,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5893,0.4538,0.8834,0.5216,1.3,2.33,-13.139,-72.55
86,19L AF 81 05,19LAF8105,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.589,0.572,0.7451,0.6343,0.98,5.1,-13.499,-71.938
87,18L WJ 08 54,18LWJ0854,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5883,0.7556,0.0257,0.8698,1.31,43.93,-14.888,-74.919
88,18L TM 73 62,18LTM7362,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5877,0.6747,0.6304,0.7179,0.6,7.39,-12.093,-77.082
89,17M PN 46 14,17MPN4614,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5868,0.6932,0.655,0.745,0.7,6.9,-7.103,-79.675
90,19L AF 78 01,19LAF7801,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5867,0.4686,0.9107,0.5606,1.64,1.79,-13.535,-71.974
91,18L YL 65 40,18LYL6540,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.586,0.4868,0.8169,0.5513,1.17,3.66,-13.193,-72.55
92,18L YL 64 46,18LYL6446,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5856,0.4435,0.8737,0.542,1.82,2.53,-13.139,-72.559
93,17L QM 14 06,17LQM1406,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5851,0.6087,0.8086,0.6447,0.56,3.83,-8.075,-79.054
94,18L YL 62 44,18LYL6244,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5839,0.4439,0.8531,0.5684,2.19,2.94,-13.157,-72.577
95,18L YL 62 43,18LYL6243,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5829,0.4522,0.8503,0.5466,1.73,2.99,-13.166,-72.577
96,17L QM 19 02,17LQM1902,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5783,0.5596,0.8695,0.6081,0.8,2.61,-8.111,-79.009
97,18L TM 71 67,18LTM7167,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5779,0.6339,0.6199,0.7854,1.93,7.6,-12.048,-77.1
98,17L QM 12 06,17LQM1206,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5754,0.6219,0.7307,0.7006,1.12,5.39,-8.075,-79.072
99,17L QM 16 05,17LQM1605,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5733,0.5261,0.9053,0.5931,1.13,1.89,-8.084,-79.036
100,18L TM 72 68,18LTM7268,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5729,0.6035,0.6633,0.7459,1.91,6.73,-12.039,-77.091
101,17L QM 17 00,17LQM1700,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5728,0.5601,0.8382,0.6332,1.16,3.24,-8.129,-79.027
102,17M PN 48 15,17MPN4815,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5726,0.676,0.6317,0.7426,0.9,7.37,-7.094,-79.657
103,17L QM 13 06,17LQM1306,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5716,0.5865,0.7717,0.6882,1.48,4.57,-8.075,-79.063
104,17L QM 17 04,17LQM1704,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5711,0.4786,0.9578,0.6001,2.02,0.84,-8.093,-79.027
105,17L QM 16 00,17LQM1600,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5709,0.5502,0.8357,0.6516,1.56,3.29,-8.129,-79.036
106,18L ZL 24 04,18LZL2404,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5707,0.4556,0.8686,0.5667,1.96,2.63,-13.508,-72.001
107,17L QM 15 00,17LQM1500,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5688,0.5486,0.8192,0.6753,1.88,3.62,-8.129,-79.045
108,18L ZL 24 05,18LZL2405,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5682,0.4624,0.8374,0.5936,2.21,3.25,-13.499,-72.001
109,18L YL 69 40,18LYL6940,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5682,0.5076,0.7328,0.5538,0.84,5.34,-13.193,-72.514
110,17L QM 18 03,17LQM1803,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5653,0.4806,0.9331,0.605,2.06,1.34,-8.102,-79.018
111,17L QM 20 00,17LQM2000,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5633,0.5899,0.7696,0.627,0.59,4.61,-8.129,-79.0
112,17L QM 12 01,17LQM1201,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5628,0.6022,0.7439,0.643,0.63,5.12,-8.12,-79.072
113,19L AF 77 07,19LAF7707,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5625,0.4971,0.7829,0.5733,1.33,4.34,-13.481,-71.983
114,17L QM 18 00,17LQM1800,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5614,0.5401,0.8261,0.6342,1.48,3.48,-8.129,-79.018
115,18L YL 63 41,18LYL6341,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5611,0.4275,0.8351,0.5017,1.48,3.3,-13.184,-72.568
116,17M PN 44 18,17MPN4418,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5602,0.7762,0.3881,0.8804,1.18,11.36,-7.067,-79.693
117,17L QM 19 00,17LQM1900,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5602,0.5522,0.802,0.6422,1.4,3.96,-8.129,-79.009
118,19L AF 82 01,19LAF8201,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5601,0.5355,0.7125,0.6083,1.2,5.75,-13.535,-71.929
119,17L QL 48 73,17LQL4873,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.56,0.5312,0.8683,0.5603,0.52,2.63,-8.372,-78.739
120,17M PN 48 14,17MPN4814,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5597,0.6124,0.6813,0.727,1.58,6.37,-7.103,-79.657
121,17L QM 14 00,17LQM1400,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5592,0.5468,0.7919,0.6705,1.85,4.16,-8.129,-79.054
122,17L QM 20 01,17LQM2001,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5566,0.5601,0.8013,0.5986,0.64,3.97,-8.12,-79.0
123,18L YL 69 43,18LYL6943,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5565,0.4271,0.8026,0.5473,2.2,3.95,-13.166,-72.514
124,19L AF 80 06,19LAF8006,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5558,0.499,0.7562,0.5834,1.45,4.88,-13.49,-71.947
